장덕동 성당 중고등부 2025년 년간 계획서,,,,,
월,일 (토),전례,교리 및 행사,기 타,참 조
1,4,주님 공현 대축일,교리(보좌 신부님),,
,11,주님 세례 축일,중고등부 겨울 캠프(곡성),,
,18,연중 제2주일,방학,,
,25,연중 제3주일,가정주일,,
2,1,주님 봉헌 축일,방학,,* 신임교사 연수회 (2/15~16)
,8,연중 제5주일,방학,,
,15,연중 제6주일,방학,,
,22,연중 제7주일,가정주일,,
3,1,연중 제8주일,"기초교리(영상교리 04, 39) ""미사""",,"* 교리교사 단합대회(3/2~3)
* 재의 수요일(3/5)
* 사순시기 판공성사
* 학생회장단 연수(3/15~16)"
,8,사순 제1주일,"기초교리(영상교리 15) ""전례주년""",,
,15,사순 제2주일,학생자치회의,,
,22,사순 제3주일,생태교육,,
,29,사순 제4주일,가정주일,,
4,5,사순 제5주일,"기초교리(영상교리 22) ""고해성사""",판공성사,*부활절 행사(초판매 등)
,12,주님 수난 성지주일,"기초교리(영상교리20,21) ""성체성사""",,
,19,주님 부활 대축일,부활대축일,성삼일 전례주간(17~19),
,26,부활 제2주일(하느님의 자비 주일),가정주일,,
5,3,부활 제3주일,"기초교리(영상교리 07) ""예수 그리스도""",,"*성소주일 (5/11, 대상 : 미정)
*최기원 에밀리오 신부임 축일 (5/28)
*상반기 문화활동(미정)
*청소년 축제(5/25, 교구 행사)"
,10,부활 제4주일, 상반기 문화활동,,
,17,부활 제5주일,"기초교리(영상교리 09) ""성모 마리아""",,
,24,부활 제6주일,가정주일,,
,31,주님 승천 대축일,학생자치회의,,
6,7,성령 강림 대축일,"기초교리(영상교리 08 ) ""성령""",,
,14,지극히 거룩하신 삼위일체 대축일,"기초교리(영상교리 06) ""삼위일체""",,
,21,지극히 거룩하신 그리스도의 성체 성혈,생태교육,,
,28,성 베드로와 성 바오로 사도,가정주일,,
7,5,연중 제14주일,"기초교리(영상교리 12 ) ""전례""",,
,12,연중 제15주일,"기초교리(영상교리 13 ) ""미사""",,
,19,연중 제16주일,"기초교리(영상교리 14 ) ""미사""",,
,26,연중 제17주일,가정주일  / 중고등부 여름 캠프,,
8,2,연중 제18주일,방학,,"*김민성 요한 마리아 비안네 신부님 축일(8/4)
*윤명자 마리아 수녀님 축일(8/15)
*고3 수능 100일(8/5)"
,9,연중 제19주일,방학,,
,16,연중 제20주일,방학,8/15 성모승천 대축일 미사,
,23,연중 제21주일,방학,,
,30,연중 제22주일,가정주일,,
9,6,연중 제23주일,하반기 문화활동,,"*최영애 디냐 수녀님 축일(9/22)
*하반기 문화활동(미정)
*전체 교리교사 연수(9/20,21)"
,13,성 십자가 현양 축일,사회 융합 교리(연애와 이성관계),,
,20,연중 제25주일,사회 융합 교리(온라인 정체성),,
,27,연중 제26주일,가정주일,,
10,4,연중 제27주일,사회 융합 교리(학업성취와 입시스트레스),,*본당의날
,11,연중 제28주일,학생자치회의,,
,18,연중 제29주일,사회 융합 교리(디지털 기기 사용과 중독),본당의날 관련,
,25,연중 제30주일,가정주일,,
11,1,죽은 모든 이를 기억하는 위령의 날,생태교육,,"*광산1지부 청소년청년 찬양미사
 (일정 미정)
*대표교사 연수(11/9)
*학생회 임원 선출"
,8,라테라노 대성전 봉헌 축일,사회 융합 교리(자아정체성),,
,15,연중 제33주일,학생회 임원 선출,,
,22,온 누리의 임금이신 우리 주 예수 그리스도 왕 대축일,사회 융합 교리(가족관계),,
,29,대림 제1주일,가정주일,,
12,6,대림 제2주일,성탄제 준비,,"*초등6학년 졸업미사
*12/31,1/1 천주의성모 대축일미사"
,13,대림 제3주일,"성탄제 준비, 판공성사",,
,20,대림 제4주일,성탄제 준비,,
,24,주님성탄대축일,성탄제,,
,27,"예수, 마리아, 요셉의 성가정 축일",가정주일,,
,,,,,
,,,,,
